ProdID,ProductName,Category,Sub Category,description,model,Brand,shipping,Tax,Quantity,Type,Price,MRP,Meaure,Image,ProductDESC
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,1/2 Kg,eggless,899, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,1 kg,eggless,1399, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,1 kg,eggless,1399, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,1/2 Kg,eggless,899, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,2 Kg,eggless,2499, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,2 Kg,eggless,2499, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,3 Kg,eggless,3499, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,1/2 Kg,with_egg,899, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,1 Kg,with_egg,1399, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,2 Kg,with_egg,2499, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000014,Designed Pineapple Cake,Cakes,All Types Of Cakes,"Designer pineapple cake,

Product Details:
Flavor of Cake- Pineapple ( Egg/Egg Less)
Type of Cake- Cream
Weight- Half Kg, 1 Kg & 2Kg 
Shape- Round",Circle,Cake,Yes,Non-Taxable,3 Kg,with_egg,3499, ,kilograms,https://minikart.in/uploads/products/1620320166_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000015,Colourful Rose Cake,Cakes,All Types Of Cakes,"Designer Floral Cake, 

Product Details:
Flavour of Cake - Chocolate
Type of Cake- Cream
Version- Eggless
Weight- 1/2Kg, 1Kg & 2Kg Respectively
Shape- Round",Circle,Rose,Yes,Non-Taxable,1/2Kg,eggless,799, , ,https://minikart.in/uploads/products/1620367823_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000015,Colourful Rose Cake,Cakes,All Types Of Cakes,"Designer Floral Cake, 

Product Details:
Flavour of Cake - Chocolate
Type of Cake- Cream
Version- Eggless
Weight- 1/2Kg, 1Kg & 2Kg Respectively
Shape- Round",Circle,Rose,Yes,Non-Taxable,1Kg,eggless,1499, , ,https://minikart.in/uploads/products/1620367823_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000015,Colourful Rose Cake,Cakes,All Types Of Cakes,"Designer Floral Cake, 

Product Details:
Flavour of Cake - Chocolate
Type of Cake- Cream
Version- Eggless
Weight- 1/2Kg, 1Kg & 2Kg Respectively
Shape- Round",Circle,Rose,Yes,Non-Taxable,2Kg,eggless,2549, , ,https://minikart.in/uploads/products/1620367823_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000016,2 Tier Semi Fondant Cake,Cakes,All Types Of Cakes,"2 Tier Semi Fondant Cake,

Product Details:
Flavour of Cake - Chocolate
Type of Cake - Semi Fondant
Weight- 3kg & 4Kg Respectively
Shape- Round",Circle,Cake,Yes,Non-Taxable,3Kg,eggless,4495, ,kilograms,https://minikart.in/uploads/products/1620370914_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000016,2 Tier Semi Fondant Cake,Cakes,All Types Of Cakes,"2 Tier Semi Fondant Cake,

Product Details:
Flavour of Cake - Chocolate
Type of Cake - Semi Fondant
Weight- 3kg & 4Kg Respectively
Shape- Round",Circle,Cake,Yes,Non-Taxable,4 Kg,eggless,5499, ,kilograms,https://minikart.in/uploads/products/1620370914_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000016,2 Tier Semi Fondant Cake,Cakes,All Types Of Cakes,"2 Tier Semi Fondant Cake,

Product Details:
Flavour of Cake - Chocolate
Type of Cake - Semi Fondant
Weight- 3kg & 4Kg Respectively
Shape- Round",Circle,Cake,Yes,Non-Taxable,5 Kg,eggless,6499, ,kilograms,https://minikart.in/uploads/products/1620370914_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000016,2 Tier Semi Fondant Cake,Cakes,All Types Of Cakes,"2 Tier Semi Fondant Cake,

Product Details:
Flavour of Cake - Chocolate
Type of Cake - Semi Fondant
Weight- 3kg & 4Kg Respectively
Shape- Round",Circle,Cake,Yes,Non-Taxable,3 Kg,with_egg,4495, ,kilograms,https://minikart.in/uploads/products/1620370914_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000016,2 Tier Semi Fondant Cake,Cakes,All Types Of Cakes,"2 Tier Semi Fondant Cake,

Product Details:
Flavour of Cake - Chocolate
Type of Cake - Semi Fondant
Weight- 3kg & 4Kg Respectively
Shape- Round",Circle,Cake,Yes,Non-Taxable,4 Kg,with_egg,5499, ,kilograms,https://minikart.in/uploads/products/1620370914_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000016,2 Tier Semi Fondant Cake,Cakes,All Types Of Cakes,"2 Tier Semi Fondant Cake,

Product Details:
Flavour of Cake - Chocolate
Type of Cake - Semi Fondant
Weight- 3kg & 4Kg Respectively
Shape- Round",Circle,Cake,Yes,Non-Taxable,5 Kg,with_egg,6499, ,kilograms,https://minikart.in/uploads/products/1620370914_0.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU lOVE: 
Your Sister or Brother, Mother or Father to wish them on there Special Occations such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. Her on Valentine's Day 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000017,Floral Chocolate Cake,Cakes,All Types Of Cakes,"Designer Floral Chocolate Cake, 

Product Details:
Flavor of Cake - Chocolate
Type of Cake- Cream
Version- Egg & Egg Less
Weight-1/2Kg, 1Kg & 2Kg
Shape- Round",Circle,Cake,Yes,Non-Taxable,1/2 Kg,eggless,949, ,kilograms,https://minikart.in/uploads/products/1620490623_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000017,Floral Chocolate Cake,Cakes,All Types Of Cakes,"Designer Floral Chocolate Cake, 

Product Details:
Flavor of Cake - Chocolate
Type of Cake- Cream
Version- Egg & Egg Less
Weight-1/2Kg, 1Kg & 2Kg
Shape- Round",Circle,Cake,Yes,Non-Taxable,1 kg,eggless,1645, ,kilograms,https://minikart.in/uploads/products/1620490623_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000017,Floral Chocolate Cake,Cakes,All Types Of Cakes,"Designer Floral Chocolate Cake, 

Product Details:
Flavor of Cake - Chocolate
Type of Cake- Cream
Version- Egg & Egg Less
Weight-1/2Kg, 1Kg & 2Kg
Shape- Round",Circle,Cake,Yes,Non-Taxable,2 Kg,eggless,2549, ,kilograms,https://minikart.in/uploads/products/1620490623_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000017,Floral Chocolate Cake,Cakes,All Types Of Cakes,"Designer Floral Chocolate Cake, 

Product Details:
Flavor of Cake - Chocolate
Type of Cake- Cream
Version- Egg & Egg Less
Weight-1/2Kg, 1Kg & 2Kg
Shape- Round",Circle,Cake,Yes,Non-Taxable,1/2 Kg,eggless,949, ,kilograms,https://minikart.in/uploads/products/1620490623_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
VEPR000017,Floral Chocolate Cake,Cakes,All Types Of Cakes,"Designer Floral Chocolate Cake, 

Product Details:
Flavor of Cake - Chocolate
Type of Cake- Cream
Version- Egg & Egg Less
Weight-1/2Kg, 1Kg & 2Kg
Shape- Round",Circle,Cake,Yes,Non-Taxable,1 Kg,eggless,1645, ,kilograms,https://minikart.in/uploads/products/1620490623_.jpg,"THIS MAKES A PERFECT GIFT FOR SOMEONE YOU love: 
Your Sister or Brother, Mother or Father to wish them on there Special Occasion's such as happy birthday, Anniversary. Your Wife, Young Couples or Girlfriend to wish them all the best. All the Romantic Couples that you know. 

DISCLAIMER : Delivered product might vary slightly from the image shown. This product is perishable therefore delivery will be attempted only once. The delivery cannot be redirected to any other address."
